canal,video,data,video_view,video_like,video_comment
Brunim Neet's,🤡 FIZ ELA PARTICIPAR DE UM JOGO DO MAL POR ME TRAIR! - TOPCRAFT - EP.20,2021-08-05T22:00:00Z,109001,13188,460
Brunim Neet's,O NOVO JEITO DE FARMAR DIAMANTES NO MINECRAFT 1.17! - TOPCRAFT - EP.19,2021-08-04T22:00:12Z,110371,13367,721
Brunim Neet's,FIZ UMA CONSTRUÇÃO FAMOSA PRA SEGURAR O LETREIRO DA CIDADE! - TOPCRAFT - EP.18,2021-08-03T22:00:17Z,83574,12173,248
Brunim Neet's,FIZ a NOVA FARM de CREEPER E USEI ELA NO PROJETO SECRETO... - TOPCRAFT - EP.17,2021-08-02T22:00:15Z,78034,10722,490
Brunim Neet's,MEU LEILÃO FOI ATACADO E ROUBARAM ALGO MUITO IMPORTANTE! - TOPCRAFT - EP.16,2021-08-01T22:00:16Z,124492,15503,627
Brunim Neet's,DROPEI A CABEÇA DO MOB MAIS RARO DO MINECRAFT 1.17! - TOPCRAFT - EP.15,2021-07-31T22:00:01Z,77954,11213,285
Brunim Neet's,CONTRATEI UM GRUPO ASSASSINO PARA MATAR O LGGJ! - TOPCRAFT - EP.14,2021-07-30T22:00:31Z,88283,13704,351
Brunim Neet's,CHAMEI TODO O SERVER E MUDAMOS TODOS OS BLOCOS DA ILHA COGUMELO! - TOPCRAFT - EP.13,2021-07-29T22:00:31Z,83637,12495,267
Brunim Neet's,PAGARAM PRA VER E FICARAM SURPRESOS COM ESSA FARM SER TÃO OP! - TOPCRAFT - EP.12,2021-07-28T22:00:04Z,75250,14741,584
Brunim Neet's,NOVA SÉRIE HARDCORE com MODS! - MINECRAFT MUNDOS - EP01,2021-07-23T22:00:06Z,81662,13350,381
Brunim Neet's,COMPREI A LOJA INTEIRA DE GRAÇA E FIZ MUITA GRANA COM ISSO! - TOPCRAFT - EP.11,2021-07-22T22:00:13Z,82117,15953,409
Brunim Neet's,FIZ ESSA LOJA PRA ME PREPARAR PRA GUERRA QUE IRÁ ACONTECER! - TOPCRAFT - EP.10,2021-07-19T14:45:02Z,89456,12612,708
Brunim Neet's,TESTEI AS MELHORES FORMAS DE SE PEGAR NETHERITE!! - TOPCRAFT - EP.09,2021-07-16T15:00:28Z,89506,12540,271
Brunim Neet's,ARMADILHA PARA O ENDER DRAGON SIMPLES E FÁCIL!! - TOPCRAFT - EP.08,2021-07-12T18:00:07Z,100243,12410,311
Brunim Neet's,TOTENS E ESMERALDAS INFINITAS SIMPLES E FÁCIL!! - TOPCRAFT - EP.07,2021-07-10T18:00:11Z,126699,17700,275
Brunim Neet's,DESTRUÍ UMA ILHA INTEIRA PARA ESSE PROJETO!! - TOPCRAFT - EP.06,2021-07-08T17:00:25Z,115602,16081,392
Brunim Neet's,10 MIL BLOCOS EM 1 MINUTO NO MINECRAFT!! - TOPCRAFT - EP.05,2021-07-06T17:30:04Z,120318,15821,475
Brunim Neet's,SUPER RARO! 4 MOB SPAWNERS JUNTOS!! - TOPCRAFT - EP.04,2021-07-02T17:00:11Z,148630,18684,377
Brunim Neet's,DESAFIO DA NETHERITE NO MINECRAFT!! - TOPCRAFT - EP.03,2021-06-30T17:00:01Z,126257,16743,391
Brunim Neet's,CASA COGUMELO NA VILA DE YOUTUBERS!! - TOPCRAFT - EP.02,2021-06-28T17:00:03Z,122286,17752,277
Brunim Neet's,MULTIPLAYER NA NOVA ATUALIZAÇÃO 1.17 CAVE AND CLIFFS!! - TOPCRAFT - EP.01,2021-06-26T15:00:24Z,158298,20087,385
Brunim Neet's,💰 O IMPOSSÍVEL ACONTECEU! BATALHA FINAL - MINECRAFT UFC,2021-06-23T16:30:02Z,150010,19870,757
Brunim Neet's,🔥 LUTA CONTRA O MAIS FORTE! BRUNIM VS LGGJ! - MINECRAFT UFC - FUTURISTA #07,2021-06-20T17:30:02Z,119329,16816,359
Brunim Neet's,😱 A ARMADURA MAIS FORTE QUE NINGUÉM DEU BOLA! - MINECRAFT UFC - FUTURISTA #06,2021-06-19T18:00:11Z,110117,15259,244
Brunim Neet's,VIREI UM ROBÔ OP DE BATALHA! - MINECRAFT UFC - FUTURISTA #05,2021-06-18T18:00:31Z,107140,14738,244
Brunim Neet's,O MOD MAIS OP DO MINECRAFT! - MINECRAFT UFC - FUTURISTA #04,2021-06-17T17:00:15Z,115550,15612,275
Brunim Neet's,GERADOR DE ENERGIA ALIENÍGENA OP! - MINECRAFT UFC - FUTURISTA #03,2021-06-16T17:00:07Z,122196,16569,245
Brunim Neet's,CONSEGUI DUPLICAR MEUS ITENS! - MINECRAFT UFC - FUTURISTA #02,2021-06-15T19:00:30Z,126610,17699,236
Brunim Neet's,LIMPEI A MINA RECHEADA DE MINÉRIOS NO PRIMEIRO EPISÓDIO - MINECRAFT UFC - FUTURISTA #01,2021-06-14T19:00:01Z,147268,23426,438
Brunim Neet's,O INIMIGO COM MAIS VIDA DO TORNEIO! BRUNIM VS VIDA! - MINECRAFT UFC - MONSTROS #07,2021-06-13T17:00:15Z,157186,21551,728
Brunim Neet's,FIZ AS JOIAS DO PODER PARA A BATALHA! - MINECRAFT UFC - MONSTROS #06,2021-06-12T17:00:00Z,132457,16701,393
Brunim Neet's,FIZ A ARMADURA DRACONICA E RUNAS DE ENCANTAMENTOS! - MINECRAFT UFC - MONSTROS #05,2021-06-11T18:00:11Z,129761,17435,512
Brunim Neet's,O MACHADO DE AÇO DE DRAGÃO DE GELO! - MINECRAFT UFC - MONSTROS #04,2021-06-10T17:00:32Z,157992,20086,584
Brunim Neet's,ESSA FARM ME DEIXA SUPER FORTE - MINECRAFT UFC - MONSTROS #03,2021-06-09T17:00:02Z,165133,21552,480
Brunim Neet's,FIQUEI IMUNE A FOME! - MINECRAFT UFC - MONSTROS #02,2021-06-08T17:00:02Z,181263,23293,528
Brunim Neet's,DEI MUITA SORTE E VIREI O MONSTRO MAIS ROUBADO DE TODOS! - MINECRAFT UFC - MONSTRO #01,2021-06-07T18:00:08Z,237219,35992,664
Brunim Neet's,A BATALHA MAIS DÍFICIL DE TODAS BRUNIM VS NOFAXU - FINAL! - MINECRAFT UFC - MÁGICO #07,2021-06-06T17:00:02Z,135682,19133,504
Brunim Neet's,A ARMADURA DE 50 CORAÇÕES DE VIDA! - MINECRAFT UFC - MÁGICO #06,2021-06-05T16:00:16Z,124915,16005,423
Brunim Neet's,ZEREI O MOD DE MAGIA MAIS OP PRA ENFRENTAR ELE! - MINECRAFT UFC - MÁGICO #05,2021-06-04T22:00:06Z,146555,18135,409
Brunim Neet's,O MOD DE MAGIA QUE USA BEDROCK! - MINECRAFT UFC - MÁGICO #04,2021-06-03T17:00:17Z,165439,20334,326
Brunim Neet's,O PODER DE ESCOLHER QUALQUER ENCANTAMENTO DO JOGO! - MINECRAFT UFC - MÁGICO #03,2021-06-02T15:00:08Z,169098,21427,558
Brunim Neet's,POÇÃO MÁGICA QUE PERMITE VER MINÉRIOS ATRAVÉS DAS COISAS! - MINECRAFT UFC - MÁGICO #02,2021-06-01T15:00:17Z,179143,22233,467
Brunim Neet's,COMECEI A ERA MÁGICA RUSHANDO MUITO! - MINECRAFT UFC - MÁGICO #01,2021-05-31T17:00:22Z,184514,27216,762
Brunim Neet's,BATALHA FINAL BRUNIM VS FOREVER! - MINECRAFT UFC - MEDIEVAL#13,2021-05-30T16:00:07Z,131177,19550,850
Brunim Neet's,MINHA ESTRATÉGIA FINAL CONTRA O FOREVER! - MINECRAFT UFC - MEDIEVAL#13,2021-05-29T17:00:12Z,112595,14875,484
Brunim Neet's,A MELHOR ARMADURA DO JOGO! - MINECRAFT UFC - MEDIEVAL#12,2021-05-28T18:00:05Z,120423,15820,646
Brunim Neet's,USEI A NOVA MESA DE ENCANTAMENTOS PRA FICAR IMORTAL! - MINECRAFT UFC - MEDIEVAL#11,2021-05-27T17:00:35Z,126175,15901,1024
Brunim Neet's,ACHEI A COMIDA MAIS ABSURDA DE TODO MODPACK! - MINECRAFT UFC - MEDIEVAL#10,2021-05-26T19:00:08Z,115364,16077,407
Brunim Neet's,TREINO PARA VIRAR UM DEUS DA BATALHA! - MINECRAFT UFC - MEDIEVAL#09,2021-05-25T21:00:08Z,120287,16887,388
Brunim Neet's,CAÍ CONTRA O FOREVER E TROLLEI ELE NA INVASÃO?! - MINECRAFT UFC - MEDIEVAL#08,2021-05-24T19:00:08Z,112545,15709,390
Brunim Neet's,FUI ATRÁS DAS RELIQUIAS MAIS RARAS DO MODPACK! - MINECRAFT UFC - MEDIEVAL#07,2021-05-23T17:00:01Z,130330,16749,254
Brunim Neet's,OVOS DE MONSTROS DO MODO CRIATIVO?! - MINECRAFT UFC - MEDIEVAL#06,2021-05-22T17:00:09Z,127450,17153,284
Brunim Neet's,ENCANTAMENTOS DO MODO CRIATIVO? - MINECRAFT UFC - MEDIEVAL#05,2021-05-21T19:00:03Z,130880,17793,405
Brunim Neet's,A FARM DE XP MAIS OP QUE JÁ FIZ NA VIDA! - MINECRAFT UFC - MEDIEVAL#04,2021-05-20T17:00:33Z,157663,20509,272
Brunim Neet's,MÁQUINA QUE MULTIPLICA NETHERITE! - MINECRAFT UFC - MEDIEVAL#03,2021-05-19T17:00:13Z,169547,24082,436
Brunim Neet's,FARM DE TESOUROS E FERRAMENTAS FULL NETHERITE! - MINECRAFT UFC - MEDIEVAL#02,2021-05-18T17:30:04Z,177476,23325,457
Brunim Neet's,AGORA VALE 20 MIL REAIS! ÍNICIO DA ERA MEDIEVAL! - MINECRAFT UFC - MEDIEVAL#01,2021-05-17T17:00:18Z,184837,27532,574
Brunim Neet's,BRUNIM VS DLET! BATALHA FINAL da ERA PRIMAL! - MINECRAFT UFC - PRIMAL #07,2021-05-16T17:00:06Z,172360,21315,396
Brunim Neet's,A MÁGIA PRIMITIVA QUE ME DEIXA IMORTAL! - MINECRAFT UFC - PRIMAL #06,2021-05-15T16:00:18Z,90488,11807,329
Brunim Neet's,EXPLODI A BASE DO MEU ADVERSÁRIO! - MINECRAFT UFC - PRIMAL #05,2021-05-14T18:00:04Z,118895,14634,252
Brunim Neet's,FIZ A ARMADURA QUE ME DARÁ A VITÓRIA! - MINECRAFT UFC - PRIMAL #04,2021-05-13T22:00:15Z,132374,16667,400
Brunim Neet's,FERRAMENTAS INFINITAS E SUPER OP! - MINECRAFT UFC - PRIMAL #03,2021-05-12T18:00:04Z,130593,16206,283
Brunim Neet's,PLANTAÇÃO RECHEADA DE MINÉRIOS! - MINECRAFT UFC - PRIMAL #02,2021-05-11T17:00:15Z,130746,19167,490
Brunim Neet's,NOVA SÉRIE COMPETITIVA VALENDO 10MIL REAIS! - MINECRAFT UFC - PRIMAL #02,2021-05-10T20:00:11Z,162378,18412,579
Brunim Neet's,PREPARATIVOS PARA A GUERRA FINAL! - MINECRAFT GUERRA #05,2021-04-23T17:00:12Z,103062,11871,799
Brunim Neet's,O ERRO DO FOREVER COLOCOU A BASE EM RISCO! - MINECRAFT GUERRA #04,2021-04-19T17:00:08Z,104911,12991,222
Brunim Neet's,VIREI UM CAÇADOR DE YOUTUBERS! - MINECRAFT GUERRA #03,2021-04-13T17:00:09Z,175290,22285,833
Brunim Neet's,Minecraft Guerra #02: SISTEMA DE BAÚS e BASE 100% SEGURO!,2021-04-05T17:00:23Z,112902,17009,451
Brunim Neet's,Minecraft Guerra #01: NOVA SÉRIE COM YOUTUBERS! FIZ UMA ALIANÇA COM O FOREVER!,2021-03-29T16:45:01Z,145803,20669,852
Brunim Neet's,FIZ UM BÁU COLOSSAL MAIOR QUE MINHA CASA! - MINECRAFT OVERPOWER #04,2021-01-22T14:00:21Z,109523,14857,802
Brunim Neet's,RATO QUE DUPLICA ITENS! - MINECRAFT OVERPOWER #03,2021-01-20T14:00:30Z,95839,12497,330
